GCF_021383865.1_ASM2138386v1_genomic	587	Clade Ⅰ
GCF_900660565.1_51334_A01-3_genomic	581	Clade Ⅰ
W6838.1.strict	570	Clade Ⅰ
W6840.4.strict	561	Clade Ⅰ
W6844.3.orig	502	Clade Ⅰ
W6846.4.orig	536	Clade Ⅰ
W6848.8.strict	568	Clade Ⅱ
W6864.4.strict	558	Clade Ⅱ
W6874.6.permissive	574	Clade Ⅰ
W6890.2.permissive	515	Clade Ⅱ
W6920.2.strict	572	Clade Ⅱ
W6932.14.strict	579	Clade Ⅰ
W7025.1.permissive	573	Clade Ⅱ
W7029.1.strict	568	Clade Ⅱ
W7035.6.strict	559	Clade Ⅱ
W7043.5.orig	575	Clade Ⅰ
W7053.4.permissive	557	Clade Ⅱ
W7055.2.permissive	575	Clade Ⅱ
W7057.5.orig	551	Clade Ⅱ
W7059.4.orig	501	Clade Ⅱ
W7097.1.permissive	569	Clade Ⅰ
W7099.3.strict	576	Clade Ⅱ
W7101.3.permissive	571	Clade Ⅰ
