ID	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	Significant	VF
MHP168L_RS00105	1054.830235	2.205493464	0.095067468	23.19924482	4.63E-119	5.50E-118	up	-
MHP168L_RS00110	1548.66999	8.746294614	0.346986753	25.20642222	3.41E-140	5.01E-139	up	-
MHP168L_RS00115	10.43478664	-0.878030154	0.609411325	-1.440784111	0.149645684	0.179966051	normal	-
MHP168L_RS00120	274.5778348	-0.472194237	0.1345771	-3.508726486	0.000450258	0.000697662	normal	-
MHP168L_RS00125	2458.856625	1.135200419	0.066213568	17.14452879	6.91E-66	4.93E-65	up	-
MHP168L_RS00130	192.1116327	0.686631522	0.150204851	4.571300579	4.85E-06	8.41E-06	normal	-
MHP168L_RS00135	603.6054364	-0.176399611	0.115293595	-1.530003569	0.126015845	0.153301921	normal	-
MHP168L_RS00140	49.61094646	-0.370200285	0.274999103	-1.346187247	0.178242137	0.212275425	normal	-
MHP168L_RS00145	2196.302697	-0.21430897	0.073405939	-2.919504514	0.003505883	0.004962173	normal	-
MHP168L_RS00150	886.5234143	0.505346522	0.083374995	6.061128059	1.35E-09	2.78E-09	normal	-
MHP168L_RS00155	828.470314	0.952667036	0.089031786	10.70030245	1.01E-26	3.52E-26	normal	-
MHP168L_RS00160	22780.97098	-0.630718126	0.051447783	-12.25938405	1.50E-34	6.52E-34	normal	-
MHP168L_RS00170	1157.662706	0.550931997	0.075925783	7.256191186	3.98E-13	9.30E-13	normal	-
MHP168L_RS00175	351.3171004	-0.306505827	0.112602444	-2.722017537	0.00648847	0.008909541	normal	-
MHP168L_RS00180	489.999503	-1.258627333	0.109475343	-11.49690238	1.37E-30	5.24E-30	down	-
MHP168L_RS00185	391.4543657	-1.611562609	0.116748564	-13.80370395	2.42E-43	1.34E-42	down	-
MHP168L_RS00190	37750.8423	-0.992954295	0.053535228	-18.54768044	8.51E-77	7.46E-76	normal	-
MHP168L_RS00195	8087.490051	-1.081682145	0.05586961	-19.36083238	1.65E-83	1.50E-82	down	-
MHP168L_RS00200	20162.44381	-1.129710136	0.056244567	-20.08567582	9.85E-90	9.06E-89	down	-
MHP168L_RS00205	2653.837105	-1.176696208	0.077420929	-15.19868373	3.61E-52	2.33E-51	down	-
MHP168L_RS00210	126.4482671	-1.856805864	0.201089711	-9.23371888	2.61E-20	7.66E-20	down	-
MHP168L_RS00220	373.9349415	-0.637110683	0.11086523	-5.74671323	9.10E-09	1.79E-08	normal	-
MHP168L_RS00225	2300.647853	0.295739792	0.07263565	4.071551526	4.67E-05	7.69E-05	normal	-
MHP168L_RS00230	1505.893526	0.307431524	0.072109578	4.263393745	2.01E-05	3.37E-05	normal	-
MHP168L_RS00235	92.37041798	0.027068588	0.244409284	0.110751063	0.911813752	0.922092715	normal	-
MHP168L_RS00240	2776.134668	0.238581205	0.082314548	2.898408729	0.003750615	0.005288223	normal	-
MHP168L_RS00245	193.7581997	0.48491093	0.147582148	3.285701799	0.001017286	0.001515633	normal	-
MHP168L_RS00250	1172.774007	-0.28689497	0.0919882	-3.118823599	0.001815746	0.002651566	normal	-
MHP168L_RS00255	94.85783731	0.111455552	0.200602968	0.555602709	0.578482479	0.615264602	normal	-
MHP168L_RS00260	11.00270441	-2.017813768	0.628494539	-3.210550995	0.001324808	0.001961888	down	-
MHP168L_RS00265	19113.27688	-1.384017847	0.053169469	-26.0303118	2.25E-149	3.85E-148	down	-
MHP168L_RS00270	14874.88144	-1.30353402	0.05556047	-23.46153701	1.01E-121	1.24E-120	down	-
MHP168L_RS00275	3553.188784	-0.043015836	0.058990265	-0.729202282	0.465877935	0.504244353	normal	-
MHP168L_RS00280	1430.092797	-0.933720354	0.071834365	-12.99824055	1.25E-38	6.14E-38	normal	-
