ID	X168L.3D.1_host_sorted	X168L.3D.2_host_sorted	X168L.3D.3_host_sorted	X168L.3D.4_host_sorted	X168L.3D.5_host_sorted	LH.1A_host_sorted	LH.2A_host_sorted	LH.3A_host_sorted	LH.3D.1_host_sorted	LH.3D.2_host_sorted	LH.3D.3_host_sorted	LH.3D.4_host_sorted	LH.4A_host_sorted	NC.1A_host_sorted	NC.2A_host_sorted	NC.3A_host_sorted	NC.4A_host_sorted
BCL2	2.03931539042797	2.00070633766243	2.0443681561573	2.16087406771698	2.73608928560817	0.603335000880026	0.205429919168605	0.30145307992126	3.99384358434958	4.44924306136251	6.07473409775123	5.40431987327729	0.205149314812287	0.231079652733221	0.170014979872222	0.230138744518981	0.283546819653161
BIRC2	198.141909423553	171.022955938488	169.645494954137	189.479901809808	213.945143110588	19.0159640940173	26.3680254971454	22.2573024676351	164.800793102632	179.560460283695	170.361361482618	173.754863294272	27.4938387205539	32.3347743537432	30.0304489972574	32.180899177057	27.588972145896
CCL2	1360.94555240861	1253.24708349342	1067.20723374443	1073.36960112484	1366.33340070031	5.41693470135053	12.0864393387993	5.84269430462975	1192.63946579028	1884.41702465878	1964.05669102999	1692.34975775102	14.9168009894506	13.8411899316167	6.65017429920189	26.7759440456431	20.4803605544241
CHUK	4.86817643086999	11.2227425505285	5.29072226360646	11.2781323257864	5.6084751462262	2.34680907769146	1.23692898599705	1.12980776760841	29.2818335565439	34.5324388423703	39.9280225416153	36.2107049107106	1.64330958387965	1.68106309028998	1.80442969511394	1.70335841188864	1.50599520593932
COL1A1	90.1848429502068	61.2073298209197	66.3810482222531	24.2195464533592	53.6161754100196	0.252791770236048	0.17008658988684	0.236305912591901	21.6363743064729	51.8797612823097	94.1567575324126	114.586926949441	0.0595322536971098	0.0881987294385375	0.0694474493676059	0.152487627466627	0.0973329780497262
DDR2	34.3863543454073	35.6364944905216	30.5182937312102	21.1082044845218	34.1245630699141	2.47256299071169	1.26419251847531	2.75942635290238	17.0652733193251	20.4305725666901	22.6317581530166	29.6158847438963	1.73065500898444	1.79887745625069	1.79867218864551	1.26826999775696	1.52840733403831
EIF2AK3	30.3060113367392	35.5612881982966	27.0692586092803	29.2070674699711	27.7419272246157	7.97128540020998	7.23415496939331	7.86507269646912	34.1461886992813	38.9011414995588	30.6115025366997	37.3569664723251	6.10010973328244	6.26972241594352	6.54514766916998	8.51875152893219	7.5859673426414
ERN1	12.0024700530362	14.2709059108984	11.0720267457592	11.4758765741715	11.2505488458591	2.8292912959666	1.77481474148376	2.1631732307984	6.77409325430653	7.33182120986337	6.1282751941919	7.43877413564603	1.66439932907431	1.6741747066169	1.28455646482126	1.73687568965972	1.84774863580054
EZH2	32.6680518558781	30.2816648412463	29.7059230173698	21.5531518933146	24.2832623633598	1.73987216750939	0.56700732480849	0.646835818937967	32.4409457344082	39.7392879545784	47.0724353565685	48.5723205496144	0.481462506744419	0.615396437907003	0.469082499583713	0.6252435070385	0.498866806092441
FGF7	13.0654375719023	16.4525056748653	13.5936123784486	16.1075964474855	21.3187769328703	0	0	0.0615319920507056	9.71678821757525	11.7725803132323	12.264845666813	10.7387627919828	0.0183201648828613	0.0351247419669792	0	0.0764716698925775	0
